GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task42,Solution,0,17,0,0,0,2,0,3,0,3
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task43,Solution,0,37,0,6,0,6,0,5,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task45,Solution,0,9,0,0,0,2,0,2,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task49,Solution,0,22,0,2,0,5,0,3,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task39,Solution,71,0,18,0,18,0,12,0,3,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task35,Solution,8,0,0,0,2,0,2,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task34,Solution,11,0,0,0,2,0,2,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task31,Solution,53,0,14,0,11,0,9,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task30,Solution,18,0,2,0,4,0,4,0,3,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task30,Solution,0,18,0,2,0,2,0,4,0,3
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task31,Solution,0,27,0,6,0,7,0,5,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task34,Solution,0,15,0,0,0,4,0,2,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task9,Solution,0,51,0,6,0,11,0,5,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task35,Solution,0,8,0,0,0,2,0,2,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task29,Solution,22,0,4,0,4,0,5,0,3,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task39,Solution,0,52,0,10,0,17,0,8,0,3
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task28,Solution,32,0,6,0,8,0,5,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task4,Solution,0,54,0,4,0,11,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task27,Solution,58,0,10,0,11,0,7,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task26,Solution,41,0,6,0,8,0,6,0,3,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task3,Solution,0,27,0,4,0,8,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task2,Solution,0,7,0,0,0,2,0,2,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task25,Solution,54,0,8,0,12,0,6,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task8,Solution,0,41,0,2,0,8,0,3,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task23,Solution,6,0,0,0,2,0,2,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task7,Solution,0,28,0,4,0,7,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task5,Solution,0,46,0,4,0,9,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task0,Solution,0,42,0,6,0,7,0,5,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task23,Solution,0,6,0,0,0,2,0,2,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task25,Solution,0,40,0,6,0,11,0,5,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task26,Solution,0,55,0,4,0,6,0,5,0,3
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task18,Solution,47,0,16,0,15,0,10,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task27,Solution,0,36,0,4,0,8,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task28,Solution,0,7,0,0,0,2,0,2,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task29,Solution,0,16,0,0,0,2,0,3,0,3
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task16,Solution,40,0,6,0,7,0,5,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task15,Solution,32,0,6,0,9,0,5,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task14,Solution,31,0,6,0,7,0,5,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task13,Solution,22,0,2,0,9,0,3,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task0,Solution,50,0,10,0,9,0,7,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task11,Solution,90,0,8,0,20,0,6,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task10,Solution,66,0,8,0,19,0,7,0,3,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task7,Solution,36,0,10,0,9,0,7,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task9,Solution,39,0,6,0,11,0,5,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task8,Solution,44,0,2,0,11,0,3,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task3,Solution,27,0,4,0,8,0,4,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task2,Solution,10,0,0,0,3,0,2,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task5,Solution,42,0,8,0,9,0,6,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task4,Solution,61,0,8,0,13,0,6,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task10,Solution,0,54,0,8,0,15,0,7,0,3
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task11,Solution,0,34,0,4,0,7,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task13,Solution,0,20,0,2,0,6,0,3,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task14,Solution,0,24,0,2,0,5,0,3,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task15,Solution,0,27,0,4,0,7,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task16,Solution,0,33,0,2,0,5,0,3,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task49,Solution,48,0,6,0,12,0,5,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm2.task18,Solution,0,29,0,4,0,6,0,4,0,2
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task45,Solution,9,0,0,0,2,0,2,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task43,Solution,33,0,4,0,8,0,4,0,2,0
BLG 475E - Software Quality and Testing Project,humaneval.llm1.task42,Solution,17,0,0,0,4,0,3,0,3,0
